phase,dataset,prompt_index,gamma,output_tokens,wall_ms,tpot_ms,rounds,accepted_draft_tokens,verified_draft_tokens,proposed_draft_tokens,acceptance_rate,mean_accepted_per_round,mean_verified_per_round,mean_proposed_per_round
target_only,gsm8k,763,0,128,6234.468271955848,48.70678337465506,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,311,0,128,6231.417208909988,48.682946944609284,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,1020,0,128,6231.113355606794,48.68057309067808,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,835,0,128,6232.164476066828,48.68878496927209,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,924,0,128,6237.516345456243,48.730596448876895,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,497,0,128,6233.475241810083,48.69902532664128,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,81,0,128,6233.305610716343,48.69770008372143,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,650,0,128,6237.110681831837,48.727427201811224,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,22,0,128,6233.038892969489,48.695616351324134,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,480,0,128,6232.628360390663,48.692409065552056,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,1075,0,128,6233.250932767987,48.6972729122499,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,46,0,128,6236.92399635911,48.725968721555546,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,565,0,128,6230.935245752335,48.679181607440114,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,387,0,128,6230.25906085968,48.67389891296625,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,1021,0,128,6234.325412660837,48.70566728641279,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,1215,0,128,6238.944634795189,48.74175495933741,128,0,0,0,0.0,0.0,0.0,0.0
speculative,gsm8k,763,5,128,3201.396221294999,25.01090797886718,25,103,110,125,0.9363636363636364,4.12,4.4,5.0
speculative,gsm8k,311,5,128,3324.5238550007343,25.972842617193237,26,102,109,128,0.9357798165137615,3.923076923076923,4.1923076923076925,4.923076923076923
speculative,gsm8k,1020,5,128,3022.874655202031,23.61620824376587,24,104,107,116,0.9719626168224299,4.333333333333333,4.458333333333333,4.833333333333333
speculative,gsm8k,835,5,128,3780.2133951336145,29.532917149481364,30,98,115,146,0.8521739130434782,3.2666666666666666,3.8333333333333335,4.866666666666666
speculative,gsm8k,924,5,128,3933.930469676852,30.733831794350408,31,97,111,151,0.8738738738738738,3.129032258064516,3.5806451612903225,4.870967741935484
speculative,gsm8k,497,5,128,3955.5154480040073,30.902464437531307,31,97,113,153,0.8584070796460177,3.129032258064516,3.6451612903225805,4.935483870967742
speculative,gsm8k,81,5,128,3482.1167811751366,27.204037352930754,28,100,111,134,0.9009009009009009,3.5714285714285716,3.9642857142857144,4.785714285714286
speculative,gsm8k,650,5,128,3693.6738174408674,28.856826698756777,29,99,112,142,0.8839285714285714,3.413793103448276,3.8620689655172415,4.896551724137931
speculative,gsm8k,22,5,128,3122.3932299762964,24.393697109189816,25,103,109,120,0.944954128440367,4.12,4.36,4.8
speculative,gsm8k,480,5,128,3135.159695520997,24.49343512125779,25,103,109,120,0.944954128440367,4.12,4.36,4.8
speculative,gsm8k,1075,5,128,4457.572488114238,34.82478506339248,35,93,113,172,0.8230088495575221,2.657142857142857,3.2285714285714286,4.914285714285715
speculative,gsm8k,46,5,128,3819.3839862942696,29.83893739292398,30,98,111,146,0.8828828828828829,3.2666666666666666,3.7,4.866666666666666
speculative,gsm8k,565,5,128,3458.4902487695217,27.01945506851189,27,101,112,135,0.9017857142857143,3.740740740740741,4.148148148148148,5.0
speculative,gsm8k,387,5,128,3067.709717899561,23.96648217109032,24,104,108,119,0.9629629629629629,4.333333333333333,4.5,4.958333333333333
speculative,gsm8k,1021,5,128,3680.5771701037884,28.754509141435847,29,99,110,140,0.9,3.413793103448276,3.793103448275862,4.827586206896552
speculative,gsm8k,1215,5,128,4073.8399289548397,31.826874444959685,32,96,111,156,0.8648648648648649,3.0,3.46875,4.875
