timestamp_utc,model_key,model_label,model_path,backend,tensor_parallel_size,dataset,dataset_purpose,repeat,batch_index,num_prompts,prompt_tokens,output_tokens,wall_s,ms_per_output_token,output_tokens_per_s,total_tokens_per_s,max_new_tokens,batch_size
2026-07-06T09:56:01,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,0,1,101,128,1.366223257035017,10.67361919558607,93.68893359185387,167.61535775417605,128,1
2026-07-06T09:56:02,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,1,1,129,128,1.3765495792031288,10.754293587524444,92.98611683430825,186.69868770638453,128,1
2026-07-06T09:56:03,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,2,1,80,128,1.3608590885996819,10.631711629685014,94.0582320919879,152.84462714948035,128,1
2026-07-06T09:56:05,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,3,1,98,128,1.3636338636279106,10.653389559593052,93.86683875645292,165.7336371793622,128,1
2026-07-06T09:56:06,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,4,1,111,128,1.366453692317009,10.675419471226633,93.67313412791802,174.9053051294719,128,1
2026-07-06T09:56:07,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,5,1,135,128,1.3586461246013641,10.614422848448157,94.21143422284155,193.57505625474474,128,1
2026-07-06T09:56:09,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,6,1,124,128,1.3730545081198215,10.726988344686106,93.22281034223144,183.53240786126815,128,1
2026-07-06T09:56:10,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,7,1,80,128,1.3627251721918583,10.646290407748893,93.92943097552092,152.63532533522147,128,1
2026-07-06T09:56:11,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,8,1,128,128,1.36372871696949,10.654130601324141,93.86030990419019,187.72061980838038,128,1
2026-07-06T09:56:13,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,9,1,91,128,1.3575446084141731,10.605817253235728,94.28787769230232,161.3206657391735,128,1
2026-07-06T09:56:14,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,10,1,100,128,1.3657870665192604,10.670211457181722,93.71885496485989,166.93671040615666,128,1
2026-07-06T09:56:16,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,11,1,98,128,1.3649757765233517,10.663873254088685,93.77455790902104,165.57070380811527,128,1
2026-07-06T09:56:17,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,12,1,68,128,1.3538738749921322,10.577139648376033,94.54351868688201,144.76976298928807,128,1
2026-07-06T09:56:18,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,13,1,98,128,1.3604146353900433,10.628239338984713,94.08896131384328,166.12582231975455,128,1
2026-07-06T09:56:20,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,14,1,81,128,1.358371775597334,10.612279496854171,94.23046201303244,153.86067625565454,128,1
2026-07-06T09:56:21,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,15,1,91,128,1.3587705828249454,10.615395178319886,94.20280481336461,161.175111360366,128,1
2026-07-06T09:56:22,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,16,1,113,128,1.351860474795103,10.561409959336743,94.68432755192471,178.27283546885823,128,1
2026-07-06T09:56:24,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,17,1,97,128,1.3721796423196793,10.720153455622494,93.28224676443611,163.97269939061036,128,1
2026-07-06T09:56:25,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,18,1,90,128,1.3825336135923862,10.801043856190518,92.58364407314755,157.68151881207942,128,1
2026-07-06T09:56:27,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,19,1,87,128,1.392373874783516,10.877920896746218,91.92933185413382,154.41254959874038,128,1
2026-07-06T09:56:28,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,20,1,101,128,1.3621359020471573,10.641686734743416,93.97006554751879,168.11832039360783,128,1
2026-07-06T09:56:29,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,21,1,134,128,1.3729050643742085,10.725820815423504,93.2329578508361,190.83621060093014,128,1
2026-07-06T09:56:31,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,22,1,102,128,1.3727915920317173,10.724934312747791,93.24066430983987,167.5418186817435,128,1
2026-07-06T09:56:32,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,23,1,95,128,1.3610903359949589,10.633518249960616,94.04225172639391,163.83923542957692,128,1
2026-07-06T09:56:33,qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,/root/autodl-tmp/Model/Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,0,24,1,98,128,1.355888944119215,10.592882375931367,94.40301180650806,166.6803177208658,128,1
