phase,dataset,prompt_index,gamma,output_tokens,wall_ms,tpot_ms,rounds,accepted_draft_tokens,verified_draft_tokens,proposed_draft_tokens,acceptance_rate,mean_accepted_per_round,mean_verified_per_round,mean_proposed_per_round
target_only,gsm8k,763,0,128,6235.447496175766,48.71443356387317,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,311,0,128,6232.590707018971,48.692114898585714,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,1020,0,128,6232.130918651819,48.68852280196734,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,835,0,128,6233.888057991862,48.702250453061424,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,924,0,128,6239.366129040718,48.74504788313061,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,497,0,128,6235.272591933608,48.71306712448131,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,81,0,128,6235.356900840998,48.713725787820294,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,650,0,128,6239.255769178271,48.744185696705244,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,22,0,128,6234.844168648124,48.70972006756347,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,480,0,128,6234.134798869491,48.704178116167895,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,1075,0,128,6234.493328258395,48.70697912701871,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,46,0,128,6238.74400742352,48.74018755799625,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,565,0,128,6232.219886034727,48.689217859646305,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,387,0,128,6231.645876541734,48.684733410482295,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,1021,0,128,6235.672350972891,48.71619024197571,128,0,0,0,0.0,0.0,0.0,0.0
target_only,gsm8k,1215,0,128,6240.665264427662,48.75519737834111,128,0,0,0,0.0,0.0,0.0,0.0
speculative,gsm8k,763,8,128,3983.1815250217915,31.118605664232746,20,108,118,156,0.9152542372881356,5.4,5.9,7.8
speculative,gsm8k,311,8,128,3875.042175874114,30.273766999016516,20,108,118,152,0.9152542372881356,5.4,5.9,7.6
speculative,gsm8k,1020,8,128,3681.380059570074,28.760781715391204,19,109,116,144,0.9396551724137931,5.7368421052631575,6.105263157894737,7.578947368421052
speculative,gsm8k,835,8,128,6590.564247220755,51.488783181412145,33,95,123,260,0.7723577235772358,2.878787878787879,3.727272727272727,7.878787878787879
speculative,gsm8k,924,8,128,5163.040662184358,40.336255173315294,26,102,120,201,0.85,3.923076923076923,4.615384615384615,7.730769230769231
speculative,gsm8k,497,8,128,3403.905712068081,26.593013375531882,17,111,117,134,0.9487179487179487,6.529411764705882,6.882352941176471,7.882352941176471
speculative,gsm8k,81,8,128,4670.447055250406,36.4878676191438,24,104,119,184,0.8739495798319328,4.333333333333333,4.958333333333333,7.666666666666667
speculative,gsm8k,650,8,128,4820.747502148151,37.66208986053243,25,103,120,186,0.8583333333333333,4.12,4.8,7.44
speculative,gsm8k,22,8,128,4384.05110873282,34.25039928697515,22,106,117,173,0.905982905982906,4.818181818181818,5.318181818181818,7.863636363636363
speculative,gsm8k,480,8,128,3784.997336566448,29.570291691925377,19,109,116,149,0.9396551724137931,5.7368421052631575,6.105263157894737,7.842105263157895
speculative,gsm8k,1075,8,128,7095.428969711065,55.4330388258677,36,92,123,280,0.7479674796747967,2.5555555555555554,3.4166666666666665,7.777777777777778
speculative,gsm8k,46,8,128,4587.2927363961935,35.83822450309526,23,105,118,180,0.8898305084745762,4.565217391304348,5.130434782608695,7.826086956521739
speculative,gsm8k,565,8,128,4410.86365096271,34.459872273146175,22,106,119,176,0.8907563025210085,4.818181818181818,5.409090909090909,8.0
speculative,gsm8k,387,8,128,3738.8267293572426,29.209583823103458,19,109,117,146,0.9316239316239316,5.7368421052631575,6.157894736842105,7.684210526315789
speculative,gsm8k,1021,8,128,4892.233572900295,38.22057478828356,25,103,118,189,0.8728813559322034,4.12,4.72,7.56
speculative,gsm8k,1215,8,128,4963.452145457268,38.776969886384904,25,103,118,193,0.8728813559322034,4.12,4.72,7.72
